Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,0.170510,0.203232,0.122816,0.141805,0.141805,33515229253
2022-02-01,0.141805,0.171586,0.109555,0.133156,0.133156,22443865574
2022-03-01,0.133174,0.152737,0.110686,0.137826,0.137826,21546128286
2022-04-01,0.137922,0.178045,0.123869,0.127557,0.127557,46860312737
2022-05-01,0.127589,0.137313,0.070037,0.085865,0.085865,27262573514
2022-06-01,0.085855,0.088647,0.049720,0.066086,0.066086,19084110888
2022-07-01,0.066208,0.076574,0.058398,0.068272,0.068272,13910802977
2022-08-01,0.068266,0.088639,0.060550,0.061330,0.061330,16644457758
2022-09-01,0.061336,0.067973,0.056180,0.061653,0.061653,10761069393
2022-10-01,0.061650,0.149392,0.055741,0.127026,0.127026,40267150421
2022-11-01,0.126985,0.157203,0.072109,0.106860,0.106860,49738850753
2022-12-01,0.106857,0.111012,0.066953,0.070294,0.070294,15636694935
