Wersja,Liczba plików,Liczba linii kodu,Osobolata,Koszt ($)
linux,6070,1946034,549.87,74280331
linux-2.5.53,12644,3642705,1076.07,145362666
linux-2.6.10,15481,4262861,1267.43,171212582
linux-2.6.19,19402,5240404,1566.64,211631187
linux-2.6.28,23240,6605072,2000.41,270227704
linux-2.6.36.2,31418,9069055,2796.36,377750676
linux-3.18.1,43082,12959645,4053.14,547523649
linux-3.18.46,43095,12976249,4058.7,548275166
linux-3.7.1,37217,11051291,3433.81,463861520
linux-4.9.148,50065,15321603,4813.09,650183205
linux-5.10.4,62933,20865856,6532.33,882428962
linux-6.1.2,69608,25332830,7902.06,1067461072
linux-6.12.7,76067,28182967,8796.21,1188248160
